"client_id,""client_firstname"",""client_lastname"",""client_email"",""client_phone"",""client_city"""
"479959,""Pavel"",""Mendoza"",""ytrytrytr@yandex.ru"",""+43255436"",""Liverpool"""
"479960,""Oleg"",""Tolmachev"",""fdsytruyrt@yandex.ru"",""+43255436"",""London"""
"479961,""Andrey"",""VanGog"",""dfrewfsd@yandex.ru"",""+71111"",""London"""
"479962,""Marina"",""Tolmachev"",""dfrewfsd@yandex.ru"",""+8423432"",""Moscow"""
"479963,""Alex"",""Bissmark"",""aa@yandex.ru"",""+8423432"",""New York"""
"479964,""Dima"",""Mendoza"",""cc@yandex.ru"",""+43255436"",""London"""
"479965,""Pavel"",""Luter King"",""dfrewfsd@yandex.ru"",""=1233213214"",""Varkuta"""
"479966,""Maksim"",""Luter King"",""fdsdsfv@yandex.ru"",""+71111"",""LA"""
"479967,""Oleg"",""Bender"",""fdsdsfv@yandex.ru"",""+71111"",""Perm"""
"479968,""Marina"",""Kovega"",""fdsffds@yandex.ru"",""+5432423"",""Perm"""
"479969,""Dima"",""Luter King"",""aa@yandex.ru"",""+5465464645"",""LA"""
"479970,""Andrey"",""Luter King"",""fdsffds@yandex.ru"",""+8423432"",""Moscow"""
"479971,""Dima"",""Madona"",""ffdsfdsf@yandex.ru"",""+8423432"",""LA"""
"479972,""Maksim"",""Madona"",""fdsdsfv@yandex.ru"",""+5465464645"",""Moscow"""
"479973,""Kristina"",""Tolmachev"",""bb@yandex.ru"",""+6534654"",""Varkuta"""
"479974,""Pavel"",""Mendoza"",""bb@yandex.ru"",""+8423432"",""Varkuta"""
"479975,""Andrey"",""Mendoza"",""aa@yandex.ru"",""+71111"",""London"""
"479976,""Maksim"",""Mendoza"",""aa@yandex.ru"",""+43255436"",""LA"""
